Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2024-12-30,2024,Tata Steel Limited,TATASTEEL.NS,NSE,135.74,136.55,132.99,135.21,117545768
2025-01-06,2025,Tata Steel Limited,TATASTEEL.NS,NSE,135.21,135.24,123.81,124.53,167188908
2025-01-13,2025,Tata Steel Limited,TATASTEEL.NS,NSE,123.13,128.17,119.83,127.31,144205174
2025-01-20,2025,Tata Steel Limited,TATASTEEL.NS,NSE,128.0,130.16,124.22,126.78,138130342
2025-01-27,2025,Tata Steel Limited,TATASTEEL.NS,NSE,126.08,132.41,121.9,129.94,154818251
2025-02-03,2025,Tata Steel Limited,TATASTEEL.NS,NSE,128.3,135.59,124.9,135.16,145114552
2025-02-10,2025,Tata Steel Limited,TATASTEEL.NS,NSE,134.95,136.08,125.39,131.41,181189367
2025-02-17,2025,Tata Steel Limited,TATASTEEL.NS,NSE,129.88,138.37,127.75,137.55,129722293
2025-02-24,2025,Tata Steel Limited,TATASTEEL.NS,NSE,135.65,137.45,131.0,134.07,125056446
2025-03-03,2025,Tata Steel Limited,TATASTEEL.NS,NSE,133.88,148.98,131.25,148.11,282841681
2025-03-10,2025,Tata Steel Limited,TATASTEEL.NS,NSE,148.11,150.73,144.33,147.44,165031211
2025-03-17,2025,Tata Steel Limited,TATASTEEL.NS,NSE,148.53,156.45,147.46,153.7,191115531
2025-03-24,2025,Tata Steel Limited,TATASTEEL.NS,NSE,154.4,155.38,149.87,150.73,133054212
2025-03-31,2025,Tata Steel Limited,TATASTEEL.NS,NSE,150.73,152.69,136.81,137.19,150083373
2025-04-07,2025,Tata Steel Limited,TATASTEEL.NS,NSE,125.08,133.1,122.44,130.38,337911973
2025-04-14,2025,Tata Steel Limited,TATASTEEL.NS,NSE,130.38,134.82,130.38,134.01,143934551
2025-04-21,2025,Tata Steel Limited,TATASTEEL.NS,NSE,134.51,140.18,133.93,135.69,183610592
2025-04-28,2025,Tata Steel Limited,TATASTEEL.NS,NSE,135.38,140.03,134.86,138.18,111523338
2025-05-05,2025,Tata Steel Limited,TATASTEEL.NS,NSE,138.34,143.6,137.31,139.53,146109713
2025-05-12,2025,Tata Steel Limited,TATASTEEL.NS,NSE,142.29,154.55,141.21,153.96,241430208
2025-05-19,2025,Tata Steel Limited,TATASTEEL.NS,NSE,154.4,159.87,152.57,159.26,206144938
2025-05-26,2025,Tata Steel Limited,TATASTEEL.NS,NSE,159.38,161.78,156.85,157.35,121117257
2025-06-02,2025,Tata Steel Limited,TATASTEEL.NS,NSE,155.38,156.99,150.73,153.9,125937103
2025-06-09,2025,Tata Steel Limited,TATASTEEL.NS,NSE,157.69,159.3,149.8,152.13,107808928
2025-06-16,2025,Tata Steel Limited,TATASTEEL.NS,NSE,152.01,154.89,150.5,151.97,97879957
2025-06-23,2025,Tata Steel Limited,TATASTEEL.NS,NSE,150.5,163.3,150.48,161.45,133380499
2025-06-30,2025,Tata Steel Limited,TATASTEEL.NS,NSE,160.99,168.78,157.73,163.01,180491487
